operator,num_of_crashes
Aeromexico / Private,1
Aeromist-Kharkiv,1
Aeronautical Explotiation,1
Aeroperu,1
Aeropeca,1
Aeronor Chile,1
Aeronorte,1
Aeronaves de Panama,1
Aeronaves del Peru,1
Aerovias Cuba International,1
Aerovias de Guatemala SA,1
Aerovias del Norte,1
Aerovias del Valle,1
Aerovias Guest,1
Aerovias Halcon,1
Aerovias Rojas,1
Aerovias Urraca,1
Aerovias Venezolanas SA (Venezuela),1
ÃƒÂ¨koda (India) Ltd,1
Aerosweet Airlines (LVOV),1
Aeroservice International,1
Aeroservicios,1
Aeroservicios Empresariales de Durango,1
Aerolift Philippines,1
Aerochasqui,1
Aerocom,1
Aero Tropical,1
Aerocalifornia,1
Aerocaribbean,1
Aerolineas Condor,1
Aerolineas Cuahonte,1
Aerolineas El Salvador,1
Aerolineas Argo,1
Aerocondor,1
Aerocondor Colombia,1
Aerocondor de Colombia,1
Aerocosta Colombia,1
Aeroejecutivos Colombia,1
Aeroespresso,1
Aeroextra,1
Aeroflot / Kazakhstan,1
Aeroflot / Soviet Air Force,1
Aeroflot Russian International Airlines,1
Aeroflot Russian International Airways,1
Aerogulf,1
Aerolatino (Aerocaribe),1
Aeroleo Taxi Aereo,1
Air Transport Associates,1
Air West,1
Air Wisconsin,1
AirAsia,1
Airblue,1
Air New England,1
Air Transat,1
Air Outremer,1
Air Outre-Mer,1
Air Philippines,1
Air Rouergue,1
Air SÃƒÂ£o TomÃƒÂ©,1
Air Satellite,1
Air Senegal,1
Air Senegal / Gambia Airways,1
Air Services,1
Air Sirin,1
Air South,1
Air Sunshine,1
Air Tahiti,1
Air Tahoma,1
Air Taroma,1
Air Luxor,1
Air Malawi,1
Air Niugini,1
Air North,1
Air Ocean,1
Air Ontario,1
Alamo Airways,1
Alantis Aviation,1
Alas Chiricanas,1
Alas del Sur,1
"Alas Nacionales, leased from Birgen Air",1
Alaska Aeronautical Industries,1
Alaska Central Express,1
Alaska Coastal Airlines,1
Alaska International Air,1
